"Brand_ID,Brand_Name,Country,Year,Sustainability_Rating,Material_Type,Eco_Friendly_Manufacturing,Carbon_Footprint_MT,Water_Usage_Liters,Waste_Production_KG,Recycling_Programs,Product_Lines,Average_Price_USD,Market_Trend,Certifications,ESG_Score,Renewable_Energy_Percent,Ethical_Sourcing_Score,Circularity_Index,Employee_Welfare_Score"
"BRAND-0001,Brand_1,Australia,2018,B,Tencel,No,1.75,4511152.79,97844.11,No,2,38.33,Growing,GOTS,79.45,33.07,76.27,15.39,59.98"
"BRAND-0002,Brand_2,Japan,2015,B,Vegan Leather,Yes,124.39,1951566.31,37267.75,No,15,250.07,Growing,GOTS,69.93,41.28,75.1,33.9,85.22"
"BRAND-0003,Brand_3,USA,2024,B,Vegan Leather,No,336.66,467454.52,38385.92,No,2,146.16,Growing,B Corp,81.72,34.86,53.14,43.26,64.63"
"BRAND-0004,Brand_4,Italy,2023,A,Bamboo Fabric,No,152.04,899576.9,32665.45,No,13,165.52,Stable,OEKO-TEX,94.85,50.43,80.43,57.99,69.54"
"BRAND-0005,Brand_5,USA,2016,B,Bamboo Fabric,Yes,415.63,1809219.9,37295.47,Yes,19,211.63,Stable,Fair Trade,68.49,74.34,43.18,75.48,80.2"
"BRAND-0006,Brand_6,Italy,2017,B,Recycled Polyester,No,447.65,2244115.38,69017.63,Yes,10,196.45,Stable,B Corp,68.49,31.04,58.22,68.88,67.0"
"BRAND-0007,Brand_7,Australia,2015,B,Hemp,Yes,345.64,1020265.49,18373.35,No,17,376.14,Stable,GOTS,95.69,70.02,34.02,31.41,37.1"
"BRAND-0008,Brand_8,Brazil,2022,A,Tencel,No,336.7,3847649.16,28717.69,No,18,59.34,Declining,OEKO-TEX,83.51,30.8,98.06,47.57,85.69"
"BRAND-0009,Brand_9,France,2018,B,Recycled Polyester,Yes,386.68,1494891.28,45916.88,Yes,11,91.12,Declining,GOTS,64.96,29.35,65.83,56.53,89.33"
"BRAND-0010,Brand_10,India,2011,A,Bamboo Fabric,No,250.94,3892548.66,58636.15,No,9,426.55,Stable,,80.14,66.01,100.0,49.76,36.87"
"BRAND-0011,Brand_11,Italy,2012,B,Organic Cotton,Yes,417.76,3489944.51,50610.02,Yes,1,214.88,Stable,Fair Trade,65.05,68.28,84.45,49.61,50.26"
"BRAND-0012,Brand_12,UK,2015,B,Hemp,No,122.81,2563102.3,44827.29,Yes,10,436.95,Stable,,65.01,66.73,78.07,20.55,100.0"
"BRAND-0013,Brand_13,Japan,2024,C,Hemp,No,413.27,3162662.08,2507.82,No,20,437.23,Stable,,75.63,19.05,59.45,31.95,71.94"
"BRAND-0014,Brand_14,USA,2022,C,Tencel,Yes,164.83,4380926.36,39252.99,Yes,5,474.4,Declining,GOTS,43.3,37.75,51.17,46.94,68.06"
"BRAND-0015,Brand_15,Germany,2017,C,Bamboo Fabric,No,215.43,4210420.72,88315.18,Yes,8,290.5,Growing,OEKO-TEX,46.13,66.11,79.41,0.0,60.75"
"BRAND-0016,Brand_16,China,2013,B,Recycled Polyester,Yes,227.94,1040405.39,98864.61,No,13,24.95,Stable,GOTS,63.57,48.91,68.71,67.81,50.48"
"BRAND-0017,Brand_17,Germany,2011,C,Bamboo Fabric,Yes,45.07,4448039.39,34738.56,Yes,9,148.35,Growing,,56.81,24.38,45.89,27.55,64.69"
"BRAND-0018,Brand_18,Japan,2022,B,Recycled Polyester,No,335.15,1068529.66,20532.15,No,11,48.83,Stable,GOTS,76.71,58.08,42.7,68.74,84.57"
"BRAND-0019,Brand_19,China,2012,C,Bamboo Fabric,No,173.93,434142.38,46905.65,No,3,182.45,Declining,GOTS,58.38,32.27,52.74,66.98,67.73"
"BRAND-0020,Brand_20,Australia,2018,A,Hemp,Yes,437.75,2345334.52,96370.47,No,16,134.28,Growing,,50.82,87.48,100.0,44.13,78.37"
"BRAND-0021,Brand_21,Australia,2012,A+,Vegan Leather,No,489.19,1549017.38,17075.64,Yes,15,482.32,Growing,GOTS,93.98,81.99,100.0,75.01,98.02"
"BRAND-0022,Brand_22,Brazil,2012,B,Vegan Leather,Yes,375.74,3398780.12,75519.58,Yes,17,176.31,Declining,B Corp,68.61,61.29,73.69,69.86,58.13"
"BRAND-0023,Brand_23,India,2020,A,Organic Cotton,Yes,323.83,1166563.37,66186.01,No,17,233.59,Stable,,73.01,77.94,72.68,48.82,73.15"
"BRAND-0024,Brand_24,China,2020,B,Recycled Polyester,Yes,240.91,4088887.9,53391.1,Yes,19,456.74,Stable,GOTS,50.63,49.43,63.95,46.56,85.07"
"BRAND-0025,Brand_25,Brazil,2020,B,Recycled Polyester,No,411.26,3981108.89,98686.02,Yes,10,327.07,Growing,B Corp,63.83,64.84,53.18,76.94,52.14"
"BRAND-0026,Brand_26,China,2018,A,Organic Cotton,No,234.31,2678432.31,40469.98,No,12,482.21,Growing,GOTS,73.66,80.51,94.75,59.64,71.03"
"BRAND-0027,Brand_27,Brazil,2020,A,Vegan Leather,Yes,181.28,1471160.32,8540.04,Yes,12,105.88,Declining,OEKO-TEX,54.74,53.4,100.0,75.89,99.83"
"BRAND-0028,Brand_28,Brazil,2017,C,Organic Cotton,Yes,72.78,4564734.97,68343.61,No,19,433.18,Declining,OEKO-TEX,77.64,42.39,53.92,7.22,62.22"
"BRAND-0029,Brand_29,Japan,2021,B,Tencel,No,60.14,404782.57,11022.95,No,13,98.05,Growing,B Corp,62.99,10.5,68.51,56.97,86.16"
"BRAND-0030,Brand_30,France,2014,B,Hemp,No,184.09,2206445.72,13839.54,Yes,16,64.22,Declining,GOTS,67.62,46.17,61.9,23.45,65.6"
"BRAND-0031,Brand_31,USA,2015,B,Hemp,Yes,189.84,3274778.79,71921.1,Yes,15,167.04,Stable,,62.97,66.12,62.44,54.48,98.59"
"BRAND-0032,Brand_32,Italy,2016,A,Bamboo Fabric,Yes,157.86,1103107.94,23052.1,Yes,1,20.72,Declining,B Corp,99.78,68.8,91.35,69.28,40.03"
"BRAND-0033,Brand_33,USA,2010,B,Tencel,Yes,148.28,3912838.88,57197.09,No,3,470.32,Declining,OEKO-TEX,71.8,59.1,46.38,89.78,69.1"
"BRAND-0034,Brand_34,UK,2020,C,Vegan Leather,Yes,356.24,2261695.47,78206.66,No,13,203.24,Declining,Fair Trade,56.13,36.09,78.4,36.24,42.86"
"BRAND-0035,Brand_35,France,2021,B,Recycled Polyester,Yes,292.76,1978759.25,33864.19,Yes,1,459.71,Growing,Fair Trade,84.34,4.51,83.11,44.49,56.09"
"BRAND-0036,Brand_36,Brazil,2016,C,Vegan Leather,No,485.95,1745500.04,84480.28,No,14,127.04,Declining,GOTS,53.69,37.11,67.44,53.09,55.98"
"BRAND-0037,Brand_37,USA,2012,B,Recycled Polyester,No,480.24,2518993.55,30367.21,No,7,290.58,Stable,Fair Trade,75.13,41.3,86.08,35.51,63.46"
"BRAND-0038,Brand_38,Australia,2022,B,Recycled Polyester,Yes,255.32,4642986.14,63309.79,No,9,218.25,Growing,Fair Trade,42.6,41.12,72.66,74.57,47.8"
"BRAND-0039,Brand_39,USA,2024,B,Hemp,No,478.34,4592843.93,93815.42,No,19,196.25,Declining,B Corp,52.08,61.61,91.91,53.6,66.78"
"BRAND-0040,Brand_40,Germany,2021,B,Organic Cotton,No,418.25,2416857.95,11371.3,No,2,114.27,Declining,Fair Trade,74.95,91.68,42.6,57.44,75.83"
